Name,SqFt,City,State,lat ,long
Microsoft,470000,Quincy,WA,47.25276548,-119.8197269
Sabey Data Centers,560000,Tukwila,WA,45.38171,-75.67917
Facebook,340000,Prineville,OR,44.29501338,-120.8850346
Digital Realty Trust,527680,San Fransisco,CA,37.735076,-121.426845
Server Farm Realty,468000,Santa Clara,CA,37.12953,-113.65006
Switch,525000,Las Vegas,NV,36.16909,-115.14058
IO Data Center,538000,Phoenix,AZ,45.38171,-75.67917
Digital Realty Trust,519479,Chandler,AZ,33.274823,-111.886809
Digital Realty Trust,489722,Los Angeles,CA,33.80578,-118.26367
CoreSite,665000,Los Angeles,CA,34.05224,-118.24334
Cyrustone,670000,Carrollton,TX,32.97554,-96.88979
Digital Realty Trust,829372,Lewisville,TX,32.99960463,-96.99947089
Infomart,1600000,Dallas,TX,32.800966,-96.819523
Digital Realty Trust,477107,Dallas,TX,32.97317,-96.70306
Hopone Internet Corp,1150000,New York,NY,39.19468,-87.63803
Digital Realty Trust,1133739,Chicago,IL,41.878113,-87.629799
DuPont Fabros,485000,Chicago,IL,38.89570878,-77.02375842
Microsoft,700000,Northlake,IL,45.82325,-67.73443
Apple,500000,Maiden,NC,40.70718,-74.00745
QTS Realty Trust,970000,Atlanta,GA,33.8968,-84.46989
Sabey Data Centers,1500000,New York,NY,42.81698,-75.53912
Google,2900000,New York,NY,40.71305,-74.00723
Markley Group,800000,Boston,MA,44.36269,-84.68584
Lam Cloud,500000,Cranbury,NJ,40.32719685,-74.49265359
Equinox,500000,Ashburn,VA,39.04707,-77.50205
DuPont Fabros,800000,Ashburn,VA,39.04781972,-77.48776676
Cousins Properties,995000,Atlanta,GA,33.874709,-84.333204
Verizon,703999,Miami,FL,25.77508,-80.1947
QTS Realty Trust,1500000,Sandston,VA,37.48812736,-77.24418715
Digital Realty Trust,654758,Philadelphia,PA,40.4779,-81.48642
Sunguard Availability Services,578000,Philadelphia,PA,39.94782,-75.19394
